Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
46,UCS,NA,5,2130,140.6368101
46,GBFS,h1,5,142,0.264294863
46,GBFS,h2,5,142,0.25939703
46,GBFS,h3,5,142,0.266548872
46,GBFS,h4,5,142,0.314867973
46,GBFS,h5,8,196,0.598773003
46,A/A*,h1,5,915,16.24798083
46,A/A*,h2,5,915,16.33515692
46,A/A*,h3,5,108,0.704077244
46,A/A*,h4,5,155,1.20501399
46,A/A*,h5,6,556,14.19150996
47,UCS,NA,5,3558,243.851521
47,GBFS,h1,5,132,0.293389082
47,GBFS,h2,5,132,0.285125017
47,GBFS,h3,5,132,0.293361187
47,GBFS,h4,5,132,0.348295927
47,GBFS,h5,8,413,1.087671041
47,A/A*,h1,5,621,12.289294
47,A/A*,h2,5,621,12.23324704
47,A/A*,h3,5,110,0.696376085
47,A/A*,h4,5,132,1.033950806
47,A/A*,h5,6,1071,33.10668015
48,UCS,NA,4,578,39.44223905
48,GBFS,h1,4,100,0.333084822
48,GBFS,h2,4,100,0.397722721
48,GBFS,h3,4,100,0.34403801
48,GBFS,h4,4,64,0.246119022
48,GBFS,h5,5,370,1.462837934
48,A/A*,h1,4,298,7.287010193
48,A/A*,h2,4,298,6.745283127
48,A/A*,h3,4,75,0.622648716
48,A/A*,h4,4,86,0.78155899
48,A/A*,h5,4,271,8.639012098
49,UCS,NA,4,1800,91.20322919
49,GBFS,h1,4,170,0.351034164
49,GBFS,h2,4,170,0.364487886
49,GBFS,h3,4,170,0.356691122
49,GBFS,h4,5,153,0.362414837
49,GBFS,h5,5,861,2.214787245
49,A/A*,h1,4,476,10.57537317
49,A/A*,h2,4,476,10.35254288
49,A/A*,h3,4,128,0.895005941
49,A/A*,h4,4,251,3.108458042
49,A/A*,h5,4,740,22.04522991
50,UCS,NA,12,14967,1653.998733
50,GBFS,h1,12,12838,27.64684486
50,GBFS,h2,12,12838,28.32355404
50,GBFS,h3,12,12838,27.84624004
50,GBFS,h4,13,4758,11.61076593
50,GBFS,h5,13,2171,5.43968606
50,A/A*,h1,12,11369,978.1259499
50,A/A*,h2,12,11369,959.8948002
50,A/A*,h3,12,3276,56.85425806
50,A/A*,h4,12,8854,517.9516242
50,A/A*,h5,12,11214,1025.164307
