5 5 0 .HCCKL.HIJKLAAIJ.MG....MG..EEEG..FF. I97 A99 G98 F97 I99
5 5 0 .HCCKL.H.JKLAA.J.MG....MG.IEEEG.IFF. I98 A99 G98 F97 I99
5 5 0 .HCCKL.H.JKLAAIJ.MG.I..MG..EEEG...FF I98 A99 G98 F96 I99
5 5 0 .HCCKL.HIJKLAAIJ.MG....MG..EEEG...FF I97 A99 G98 F96 I99
5 5 0 .HCCKL.H.JKLAA.J.MG....MG.IEEEG.I.FF I98 A99 G98 F96 I99
6 6 0 GH.CCLGH..KLGAAJKM..IJ.M..IEEE.FF... F99 I99 J99 G99 C99 K99
6 6 0 GH.CCLGH..KLGAAJKM..IJ.M..IEEE..FF.. F98 I99 J99 G99 C99 K99
6 6 0 GH.CCLGH..KLGAAJKM..IJ.M..IEEE...FF. F97 I99 J99 G99 C99 K99
6 6 0 GH.CCLGH..KLGAAJKM..IJ.M..IEEE....FF F96 I99 J99 G99 C99 K99
6 6 0 GH.CCLGH.JKLGAAJKM.....M..IEEE..IFF. I98 F97 I99 G99 C99 K99
6 6 0 GH.CCLGH.JKLGAAJKM.....M..IEEE..I.FF I98 F96 I99 G99 C99 K99
6 6 0 .H.CCL.H..KLGAAJKMG.IJ.MG.IEEE.FF... F99 I99 J99 G99 C99 K99
6 6 0 .H.CCL.H..KLGAAJKMG.IJ.MG.IEEE..FF.. F98 I99 J99 G99 C99 K99
6 6 0 .H.CCL.H..KLGAAJKMG.IJ.MG.IEEE...FF. F97 I99 J99 G99 C99 K99
6 6 0 .H.CCL.H..KLGAAJKMG.IJ.MG.IEEE....FF F96 I99 J99 G99 C99 K99
6 6 0 .H.CCL.H.JKLGAAJKMG....MG.IEEE..IFF. I98 F97 I99 G99 C99 K99
